Player,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%
Luis Scola,295,.474,622,5,.250,20,105,34,18,388,300,.467,642,158,.699,226,81,16,NBA,1659,138,192,763,Luis Scola,PF,47,2014-15,94,526,IND,.471
Luis Scola,73,.462,158,14,.438,32,20,35,4,93,87,.458,190,24,.828,29,22,22,NBA,502,32,54,212,Luis Scola,PF,14,2015-16,21,125,TOR,.495
Mike Scott,70,.479,146,0,.000,1,12,24,2,71,70,.476,147,43,.768,56,40,1,NBA,376,39,32,183,Mike Scott,PF,4,2012-13,21,110,ATL,.476
Mike Scott,239,.558,428,62,.310,200,75,25,7,222,301,.479,628,103,.780,132,80,6,NBA,1482,62,121,767,Mike Scott,PF,30,2013-14,79,284,ATL,.529
Mike Scott,135,.517,261,66,.344,192,75,26,3,154,201,.444,453,61,.792,77,68,0,NBA,1123,45,83,529,Mike Scott,PF,25,2014-15,39,199,ATL,.517
Mike Scott,31,.525,59,9,.321,28,24,27,3,27,40,.460,87,18,.818,22,20,0,NBA,232,12,18,107,Mike Scott,PF,2,2015-16,13,39,ATL,.511
Thabo Sefolosha,94,.439,214,15,.357,42,60,22,11,118,109,.426,256,23,.511,45,71,4,NBA,868,35,100,256,Thabo Sefolosha,SG,33,2006-07,60,153,CHI,.455
Thabo Sefolosha,151,.453,333,29,.330,88,129,23,30,205,180,.428,421,75,.721,104,69,22,NBA,1436,50,128,464,Thabo Sefolosha,SG,61,2007-08,93,255,CHI,.462
Thabo Sefolosha,128,.474,270,24,.276,87,111,24,45,188,152,.426,357,61,.836,73,66,36,NBA,1453,54,104,389,Thabo Sefolosha,SF-SG,75,2008-09,64,242,TOT,.459
Thabo Sefolosha,64,.485,132,15,.300,50,65,24,19,97,79,.434,182,21,.840,25,43,14,NBA,735,26,50,194,Thabo Sefolosha,SF,35,2008-09,37,123,CHI,.475
Thabo Sefolosha,64,.464,138,9,.243,37,46,24,26,91,73,.417,175,40,.833,48,23,22,NBA,718,28,54,195,Thabo Sefolosha,SG,40,2008-09,27,119,OKC,.443
Thabo Sefolosha,153,.494,310,41,.313,131,145,25,46,311,194,.440,441,60,.674,89,82,82,NBA,2348,76,154,489,Thabo Sefolosha,SG,97,2009-10,90,387,OKC,.486
Thabo Sefolosha,129,.558,231,28,.275,102,111,26,38,281,157,.471,333,59,.747,79,79,79,NBA,2049,65,171,401,Thabo Sefolosha,SG,97,2010-11,55,346,OKC,.514
