Year,Rate
1985,1.2152
1986,1.1324
1987,1.1017
1988,1.0199
1989,0.9299
1990,0.8344
1991,0.7363
1992,0.6923
1993,0.6389
1994,0.5985
1995,0.5549
1996,0.5136
1997,0.4689
1998,0.4462
1999,0.4224
2000,0.3845
2001,0.3347
2002,0.3196
2003,0.2862
2004,0.2619
2005,0.2255
2006,0.1786
2007,0.1546
2008,0.1072
2009,0.1069
2010,0.0785
2011,0.0612
2012,0.0311
2013,0.0149
2014,0
2015,0
