Player,Player,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player.1_x,Pos,STL,Season,TOV,TRB,Tm,eFG%,Player.1_y,Salary
Al-Farouq Aminu,Al-Farouq Aminu,115,.437,263,45,.315,143,60.0,20.0,25.0,192.0,160,.394,406,92.0,0.773,119.0,81,14,NBA,1452,75.0,121.0,457.0,Al-Farouq Aminu,SF,59.0,2010-11,103.0,267.0,LAC,0.45,Al-Farouq Aminu,2563320
Al-Farouq Aminu,Al-Farouq Aminu,137,.431,318,13,.277,47,66.0,21.0,34.0,213.0,150,.411,365,86.0,0.754,114.0,66,21,NBA,1477,95.0,136.0,399.0,Al-Farouq Aminu,SF,59.0,2011-12,91.0,308.0,NOH,0.429,Al-Farouq Aminu,2755560
Al-Farouq Aminu,Al-Farouq Aminu,221,.486,455,4,.211,19,103.0,22.0,51.0,446.0,225,.475,474,101.0,0.737,137.0,76,71,NBA,2066,139.0,153.0,555.0,Al-Farouq Aminu,SF,92.0,2012-13,116.0,585.0,NOH,0.479,Al-Farouq Aminu,2947800
Al-Farouq Aminu,Al-Farouq Aminu,221,.496,446,13,.271,48,114.0,23.0,38.0,367.0,234,.474,494,91.0,0.664,137.0,80,65,NBA,2045,129.0,147.0,572.0,Al-Farouq Aminu,SF,82.0,2013-14,88.0,496.0,NOP,0.487,Al-Farouq Aminu,3700000
Al-Farouq Aminu,Al-Farouq Aminu,113,.485,233,34,.274,124,59.0,24.0,62.0,228.0,147,.412,357,84.0,0.712,118.0,74,3,NBA,1366,114.0,137.0,412.0,Al-Farouq Aminu,SF,70.0,2014-15,55.0,342.0,DAL,0.459,Al-Farouq Aminu,981084
Lou Amundson,Lou Amundson,6,.400,15,0,,0,1.0,24.0,8.0,15.0,6,.400,15,4.0,0.4,10.0,11,0,NBA,89,13.0,15.0,16.0,Lou Amundson,PF,1.0,2006-07,5.0,28.0,TOT,0.4,Lou Amundson,105696
Lou Amundson,Lou Amundson,6,.400,15,0,,0,1.0,24.0,8.0,15.0,6,.400,15,4.0,0.4,10.0,11,0,NBA,89,13.0,15.0,16.0,Lou Amundson,PF,1.0,2006-07,5.0,28.0,TOT,0.4,Lou Amundson,75000
Lou Amundson,Lou Amundson,6,.400,15,0,,0,1.0,24.0,8.0,15.0,6,.400,15,4.0,0.4,10.0,11,0,NBA,89,13.0,15.0,16.0,Lou Amundson,PF,1.0,2006-07,5.0,28.0,TOT,0.4,Lou Amundson,35232
Lou Amundson,Lou Amundson,0,,0,0,,0,0.0,24.0,0.0,0.0,0,,0,0.0,,0.0,1,0,NBA,2,0.0,0.0,0.0,Lou Amundson,PF,0.0,2006-07,0.0,0.0,UTA,,Lou Amundson,105696
Lou Amundson,Lou Amundson,0,,0,0,,0,0.0,24.0,0.0,0.0,0,,0,0.0,,0.0,1,0,NBA,2,0.0,0.0,0.0,Lou Amundson,PF,0.0,2006-07,0.0,0.0,UTA,,Lou Amundson,75000
Lou Amundson,Lou Amundson,0,,0,0,,0,0.0,24.0,0.0,0.0,0,,0,0.0,,0.0,1,0,NBA,2,0.0,0.0,0.0,Lou Amundson,PF,0.0,2006-07,0.0,0.0,UTA,,Lou Amundson,35232
Lou Amundson,Lou Amundson,6,.400,15,0,,0,1.0,24.0,8.0,15.0,6,.400,15,4.0,0.4,10.0,10,0,NBA,87,13.0,15.0,16.0,Lou Amundson,PF,1.0,2006-07,5.0,28.0,PHI,0.4,Lou Amundson,105696
Lou Amundson,Lou Amundson,6,.400,15,0,,0,1.0,24.0,8.0,15.0,6,.400,15,4.0,0.4,10.0,10,0,NBA,87,13.0,15.0,16.0,Lou Amundson,PF,1.0,2006-07,5.0,28.0,PHI,0.4,Lou Amundson,75000
Lou Amundson,Lou Amundson,6,.400,15,0,,0,1.0,24.0,8.0,15.0,6,.400,15,4.0,0.4,10.0,10,0,NBA,87,13.0,15.0,16.0,Lou Amundson,PF,1.0,2006-07,5.0,28.0,PHI,0.4,Lou Amundson,35232
Lou Amundson,Lou Amundson,8,.500,16,0,,0,0.0,25.0,1.0,5.0,8,.500,16,2.0,0.286,7.0,16,0,NBA,64,7.0,13.0,18.0,Lou Amundson,PF,1.0,2007-08,2.0,12.0,PHI,0.5,Lou Amundson,687456
Lou Amundson,Lou Amundson,134,.538,249,0,.000,1,28.0,26.0,65.0,142.0,134,.536,250,53.0,0.442,120.0,76,0,NBA,1044,128.0,154.0,321.0,Lou Amundson,PF,32.0,2008-09,56.0,270.0,PHO,0.536,Lou Amundson,797581
Lou Amundson,Lou Amundson,152,.553,275,0,.000,1,31.0,27.0,73.0,218.0,152,.551,276,67.0,0.545,123.0,79,0,NBA,1168,128.0,169.0,371.0,Lou Amundson,PF,24.0,2009-10,57.0,346.0,PHO,0.551,Lou Amundson,855189
Lou Amundson,Lou Amundson,83,.454,183,0,,0,17.0,28.0,33.0,104.0,83,.454,183,34.0,0.391,87.0,46,7,NBA,691,81.0,87.0,200.0,Lou Amundson,PF,14.0,2010-11,24.0,185.0,GSW,0.454,Lou Amundson,2225000
Lou Amundson,Lou Amundson,89,.430,207,0,,0,14.0,29.0,44.0,128.0,89,.430,207,35.0,0.427,82.0,60,0,NBA,753,94.0,125.0,213.0,Lou Amundson,PF,27.0,2011-12,45.0,222.0,IND,0.43,Lou Amundson,2403000
Lou Amundson,Lou Amundson,32,.395,81,0,,0,11.0,30.0,12.0,58.0,32,.395,81,12.0,0.333,36.0,39,0,NBA,372,48.0,53.0,76.0,Lou Amundson,PF,16.0,2012-13,19.0,106.0,TOT,0.395,Lou Amundson,1069509
Lou Amundson,Lou Amundson,14,.368,38,0,,0,3.0,30.0,6.0,24.0,14,.368,38,4.0,0.2,20.0,20,0,NBA,161,23.0,26.0,32.0,Lou Amundson,PF,7.0,2012-13,11.0,47.0,MIN,0.368,Lou Amundson,1069509
Lou Amundson,Lou Amundson,0,.000,1,0,,0,0.0,30.0,0.0,0.0,0,.000,1,0.0,,0.0,1,0,NBA,2,1.0,0.0,0.0,Lou Amundson,PF,0.0,2012-13,0.0,1.0,CHI,0.0,Lou Amundson,1069509
Lou Amundson,Lou Amundson,18,.429,42,0,,0,8.0,30.0,6.0,34.0,18,.429,42,8.0,0.5,16.0,18,0,NBA,209,24.0,27.0,44.0,Lou Amundson,PF,9.0,2012-13,8.0,58.0,NOH,0.429,Lou Amundson,1069509
Lou Amundson,Lou Amundson,109,.429,254,0,.000,1,70.0,32.0,52.0,174.0,109,.427,255,41.0,0.471,87.0,53,35,NBA,937,94.0,126.0,259.0,Lou Amundson,PF,22.0,2014-15,62.0,268.0,TOT,0.427,Lou Amundson,409167
Lou Amundson,Lou Amundson,4,.333,12,0,,0,5.0,32.0,0.0,15.0,4,.333,12,3.0,0.6,5.0,12,0,NBA,79,5.0,11.0,11.0,Lou Amundson,PF,1.0,2014-15,5.0,20.0,CLE,0.333,Lou Amundson,409167
Lou Amundson,Lou Amundson,105,.434,242,0,.000,1,65.0,32.0,52.0,159.0,105,.432,243,38.0,0.463,82.0,41,35,NBA,858,89.0,115.0,248.0,Lou Amundson,PF,21.0,2014-15,57.0,248.0,NYK,0.432,Lou Amundson,409167
Chris Andersen,Chris Andersen,25,.357,70,0,.000,4,7.0,23.0,28.0,38.0,25,.338,74,22.0,0.786,28.0,24,1,NBA,262,38.0,35.0,72.0,Chris Andersen,C,7.0,2001-02,13.0,76.0,DEN,0.338,Chris Andersen,288171
Chris Andersen,Chris Andersen,114,.401,284,0,.000,1,32.0,24.0,60.0,165.0,114,.400,285,77.0,0.55,140.0,59,3,NBA,907,109.0,90.0,305.0,Chris Andersen,C,30.0,2002-03,60.0,274.0,DEN,0.4,Chris Andersen,512435
Chris Andersen,Chris Andersen,90,.446,202,0,.000,1,35.0,25.0,114.0,209.0,90,.443,203,63.0,0.589,107.0,71,0,NBA,1029,89.0,119.0,243.0,Chris Andersen,PF,34.0,2003-04,48.0,298.0,DEN,0.443,Chris Andersen,638679
Chris Andersen,Chris Andersen,191,.538,355,0,.000,3,71.0,26.0,100.0,273.0,191,.534,358,131.0,0.689,190.0,67,2,NBA,1430,137.0,144.0,513.0,Chris Andersen,C,14.0,2004-05,64.0,410.0,NOH,0.534,Chris Andersen,1600000
Chris Andersen,Chris Andersen,56,.571,98,0,,0,6.0,27.0,41.0,94.0,56,.571,98,49.0,0.476,103.0,32,2,NBA,570,61.0,84.0,161.0,Chris Andersen,C,8.0,2005-06,26.0,155.0,NOK,0.571,Chris Andersen,3500000
Alan Anderson,Alan Anderson,51,.415,123,24,.414,58,32.0,23.0,4.0,47.0,75,.414,181,33.0,0.805,41.0,36,7,NBA,564,23.0,48.0,207.0,Alan Anderson,SF,11.0,2005-06,32.0,70.0,CHA,0.481,Alan Anderson,398762
Alan Anderson,Alan Anderson,32,.525,61,5,.250,20,21.0,24.0,0.0,21.0,37,.457,81,19.0,0.826,23.0,17,0,NBA,256,11.0,33.0,98.0,Alan Anderson,SG,7.0,2006-07,22.0,32.0,CHA,0.488,Alan Anderson,102131
James Anderson,James Anderson,13,.371,35,18,.391,46,18.0,21.0,6.0,21.0,31,.383,81,14.0,0.778,18.0,26,2,NBA,286,2.0,24.0,94.0,James Anderson,SF,3.0,2010-11,13.0,23.0,SAS,0.494,James Anderson,1361400
James Anderson,James Anderson,47,.443,106,19,.279,68,41.0,22.0,2.0,63.0,66,.379,174,39.0,0.75,52.0,51,2,NBA,603,16.0,35.0,190.0,James Anderson,SG,8.0,2011-12,30.0,79.0,SAS,0.434,James Anderson,1463520
James Anderson,James Anderson,31,.470,66,21,.350,60,42.0,23.0,5.0,54.0,52,.413,126,24.0,0.857,28.0,39,2,NBA,401,18.0,25.0,149.0,James Anderson,SG-SF,15.0,2012-13,25.0,72.0,TOT,0.496,James Anderson,472427
James Anderson,James Anderson,31,.470,66,21,.350,60,42.0,23.0,5.0,54.0,52,.413,126,24.0,0.857,28.0,39,2,NBA,401,18.0,25.0,149.0,James Anderson,SG-SF,15.0,2012-13,25.0,72.0,TOT,0.496,James Anderson,145749
James Anderson,James Anderson,6,.429,14,5,.455,11,9.0,23.0,2.0,11.0,11,.440,25,7.0,0.778,9.0,10,0,NBA,94,3.0,7.0,34.0,James Anderson,SF,3.0,2012-13,7.0,14.0,SAS,0.54,James Anderson,472427
James Anderson,James Anderson,6,.429,14,5,.455,11,9.0,23.0,2.0,11.0,11,.440,25,7.0,0.778,9.0,10,0,NBA,94,3.0,7.0,34.0,James Anderson,SF,3.0,2012-13,7.0,14.0,SAS,0.54,James Anderson,145749
James Anderson,James Anderson,25,.481,52,16,.327,49,33.0,23.0,3.0,43.0,41,.406,101,17.0,0.895,19.0,29,2,NBA,307,15.0,18.0,115.0,James Anderson,SG,12.0,2012-13,18.0,58.0,HOU,0.485,James Anderson,472427
James Anderson,James Anderson,25,.481,52,16,.327,49,33.0,23.0,3.0,43.0,41,.406,101,17.0,0.895,19.0,29,2,NBA,307,15.0,18.0,115.0,James Anderson,SG,12.0,2012-13,18.0,58.0,HOU,0.485,James Anderson,145749
James Anderson,James Anderson,194,.530,366,115,.328,351,149.0,24.0,28.0,241.0,309,.431,717,77.0,0.726,106.0,80,62,NBA,2309,59.0,154.0,810.0,James Anderson,SG,74.0,2013-14,106.0,300.0,PHI,0.511,James Anderson,916099
Kyle Anderson,Kyle Anderson,28,.359,78,3,.273,11,28.0,21.0,7.0,67.0,31,.348,89,9.0,0.643,14.0,33,8,NBA,358,5.0,28.0,74.0,Kyle Anderson,SF,15.0,2014-15,10.0,72.0,SAS,0.365,Kyle Anderson,1093680
Ryan Anderson,Ryan Anderson,91,.417,218,69,.365,189,52.0,20.0,20.0,207.0,160,.393,407,98.0,0.845,116.0,66,30,NBA,1312,104.0,157.0,487.0,Ryan Anderson,PF,44.0,2008-09,63.0,311.0,NJN,0.478,Ryan Anderson,1225200
Ryan Anderson,Ryan Anderson,91,.514,177,78,.370,211,37.0,21.0,14.0,132.0,169,.436,388,71.0,0.866,82.0,63,6,NBA,911,70.0,81.0,487.0,Ryan Anderson,PF,25.0,2009-10,56.0,202.0,ORL,0.536,Ryan Anderson,1317120
Ryan Anderson,Ryan Anderson,92,.500,184,134,.393,341,52.0,22.0,38.0,226.0,226,.430,525,95.0,0.812,117.0,64,14,NBA,1424,129.0,137.0,681.0,Ryan Anderson,PF,30.0,2010-11,49.0,355.0,ORL,0.558,Ryan Anderson,1409040
Ryan Anderson,Ryan Anderson,166,.496,335,166,.393,422,54.0,23.0,26.0,247.0,332,.439,757,150.0,0.877,171.0,61,61,NBA,1964,224.0,146.0,980.0,Ryan Anderson,PF,50.0,2011-12,57.0,471.0,ORL,0.548,Ryan Anderson,2244601
Ryan Anderson,Ryan Anderson,259,.464,558,213,.382,557,97.0,24.0,31.0,328.0,472,.423,1115,152.0,0.844,180.0,81,22,NBA,2503,191.0,179.0,1309.0,Ryan Anderson,PF,42.0,2012-13,97.0,519.0,NOH,0.519,Ryan Anderson,8700000
Ryan Anderson,Ryan Anderson,88,.463,190,67,.409,164,17.0,25.0,7.0,76.0,155,.438,354,59.0,0.952,62.0,22,14,NBA,795,66.0,47.0,436.0,Ryan Anderson,PF,10.0,2013-14,20.0,142.0,NOP,0.532,Ryan Anderson,8308500
Ryan Anderson,Ryan Anderson,169,.457,370,122,.340,359,55.0,26.0,20.0,187.0,291,.399,729,129.0,0.854,151.0,61,5,NBA,1675,108.0,113.0,833.0,Ryan Anderson,PF,33.0,2014-15,62.0,295.0,NOP,0.483,Ryan Anderson,8491500
Giannis Antetokounmpo,Giannis Antetokounmpo,132,.440,300,41,.347,118,150.0,19.0,61.0,261.0,173,.414,418,138.0,0.683,202.0,77,23,NBA,1897,78.0,173.0,525.0,Giannis Antetokounmpo,SF,60.0,2013-14,122.0,339.0,MIL,0.463,Giannis Antetokounmpo,1792560
Giannis Antetokounmpo,Giannis Antetokounmpo,376,.511,736,7,.159,44,207.0,20.0,85.0,442.0,383,.491,780,257.0,0.741,347.0,81,71,NBA,2541,100.0,254.0,1030.0,Giannis Antetokounmpo,SG,73.0,2014-15,173.0,542.0,MIL,0.496,Giannis Antetokounmpo,1873200
Carmelo Anthony,Carmelo Anthony,555,.444,1251,69,.322,214,227.0,19.0,41.0,315.0,624,.426,1465,408.0,0.777,525.0,82,82,NBA,2995,183.0,225.0,1725.0,Carmelo Anthony,SF,97.0,2003-04,247.0,498.0,DEN,0.449,Carmelo Anthony,3229200
Carmelo Anthony,Carmelo Anthony,488,.455,1072,42,.266,158,194.0,20.0,30.0,285.0,530,.431,1230,456.0,0.796,573.0,75,75,NBA,2608,141.0,229.0,1558.0,Carmelo Anthony,SF,68.0,2004-05,224.0,426.0,DEN,0.448,Carmelo Anthony,3471360
Carmelo Anthony,Carmelo Anthony,719,.506,1420,37,.243,152,216.0,21.0,42.0,272.0,756,.481,1572,573.0,0.808,709.0,80,80,NBA,2941,122.0,229.0,2122.0,Carmelo Anthony,SF,88.0,2005-06,218.0,394.0,DEN,0.493,Carmelo Anthony,3713640
Carmelo Anthony,Carmelo Anthony,651,.499,1304,40,.268,149,249.0,22.0,23.0,248.0,691,.476,1453,459.0,0.808,568.0,65,65,NBA,2486,143.0,203.0,1881.0,Carmelo Anthony,SF,77.0,2006-07,234.0,391.0,DEN,0.489,Carmelo Anthony,4694041
Carmelo Anthony,Carmelo Anthony,670,.509,1317,58,.354,164,259.0,23.0,39.0,393.0,728,.492,1481,464.0,0.786,590.0,77,77,NBA,2806,178.0,253.0,1978.0,Carmelo Anthony,SF,98.0,2007-08,253.0,571.0,DEN,0.511,Carmelo Anthony,13041250
Carmelo Anthony,Carmelo Anthony,472,.455,1037,63,.371,170,222.0,24.0,24.0,344.0,535,.443,1207,371.0,0.793,468.0,66,66,NBA,2277,106.0,195.0,1504.0,Carmelo Anthony,SF,75.0,2008-09,199.0,450.0,DEN,0.469,Carmelo Anthony,14410581
Carmelo Anthony,Carmelo Anthony,629,.478,1315,59,.316,187,222.0,25.0,30.0,302.0,688,.458,1502,508.0,0.83,612.0,69,69,NBA,2634,152.0,225.0,1943.0,Carmelo Anthony,SF,88.0,2009-10,209.0,454.0,DEN,0.478,Carmelo Anthony,15779912
Carmelo Anthony,Carmelo Anthony,589,.470,1252,95,.378,251,221.0,26.0,46.0,445.0,684,.455,1503,507.0,0.838,605.0,77,77,NBA,2751,118.0,224.0,1970.0,Carmelo Anthony,SF,68.0,2010-11,206.0,563.0,TOT,0.487,Carmelo Anthony,17149243
Carmelo Anthony,Carmelo Anthony,395,.470,841,42,.333,126,140.0,26.0,31.0,305.0,437,.452,967,343.0,0.823,417.0,50,50,NBA,1774,77.0,134.0,1259.0,Carmelo Anthony,SF,43.0,2010-11,142.0,382.0,DEN,0.474,Carmelo Anthony,17149243
Carmelo Anthony,Carmelo Anthony,194,.472,411,53,.424,125,81.0,26.0,15.0,140.0,247,.461,536,164.0,0.872,188.0,27,27,NBA,977,41.0,90.0,711.0,Carmelo Anthony,SF,25.0,2010-11,64.0,181.0,NYK,0.51,Carmelo Anthony,17149243
Carmelo Anthony,Carmelo Anthony,373,.454,822,68,.335,203,200.0,27.0,24.0,256.0,441,.430,1025,295.0,0.804,367.0,55,55,NBA,1876,88.0,156.0,1245.0,Carmelo Anthony,SF,62.0,2011-12,144.0,344.0,NYK,0.463,Carmelo Anthony,18518574
Carmelo Anthony,Carmelo Anthony,512,.476,1075,157,.379,414,171.0,28.0,32.0,326.0,669,.449,1489,425.0,0.83,512.0,67,67,NBA,2482,134.0,205.0,1920.0,Carmelo Anthony,PF,52.0,2012-13,175.0,460.0,NYK,0.502,Carmelo Anthony,19450000
Carmelo Anthony,Carmelo Anthony,576,.469,1228,167,.402,415,242.0,29.0,51.0,477.0,743,.452,1643,459.0,0.848,541.0,77,77,NBA,2982,145.0,224.0,2112.0,Carmelo Anthony,PF,95.0,2013-14,198.0,622.0,NYK,0.503,Carmelo Anthony,22407474
Carmelo Anthony,Carmelo Anthony,297,.474,627,61,.341,179,122.0,30.0,17.0,192.0,358,.444,806,189.0,0.797,237.0,40,40,NBA,1428,72.0,87.0,966.0,Carmelo Anthony,SF,40.0,2014-15,89.0,264.0,NYK,0.482,Carmelo Anthony,22458000
Joel Anthony,Joel Anthony,28,.467,60,0,,0,3.0,25.0,31.0,55.0,28,.467,60,29.0,0.592,49.0,24,1,NBA,498,38.0,55.0,85.0,Joel Anthony,PF,9.0,2007-08,17.0,93.0,MIA,0.467,Joel Anthony,427163
Joel Anthony,Joel Anthony,57,.483,118,0,,0,27.0,26.0,93.0,108.0,57,.483,118,30.0,0.652,46.0,65,28,NBA,1048,89.0,139.0,144.0,Joel Anthony,C,20.0,2008-09,41.0,197.0,MIA,0.483,Joel Anthony,711517
Joel Anthony,Joel Anthony,76,.478,159,0,,0,12.0,27.0,109.0,126.0,76,.478,159,66.0,0.717,92.0,80,16,NBA,1322,123.0,158.0,218.0,Joel Anthony,C,20.0,2009-10,45.0,249.0,MIA,0.478,Joel Anthony,825497
Joel Anthony,Joel Anthony,53,.535,99,0,,0,24.0,28.0,93.0,162.0,53,.535,99,47.0,0.644,73.0,75,11,NBA,1463,104.0,194.0,153.0,Joel Anthony,C,10.0,2010-11,36.0,266.0,MIA,0.535,Joel Anthony,3300000
Joel Anthony,Joel Anthony,85,.559,152,0,,0,9.0,29.0,84.0,150.0,85,.559,152,49.0,0.69,71.0,64,51,NBA,1349,100.0,126.0,219.0,Joel Anthony,C,36.0,2011-12,45.0,250.0,MIA,0.559,Joel Anthony,3600000
Joel Anthony,Joel Anthony,35,.515,68,0,,0,13.0,30.0,42.0,70.0,35,.515,68,17.0,0.607,28.0,62,3,NBA,566,45.0,49.0,87.0,Joel Anthony,C,13.0,2012-13,22.0,115.0,MIA,0.515,Joel Anthony,3750000
Joel Anthony,Joel Anthony,12,.375,32,0,,0,2.0,31.0,12.0,23.0,12,.375,32,4.0,0.5,8.0,33,0,NBA,186,15.0,17.0,28.0,Joel Anthony,C,3.0,2013-14,3.0,38.0,TOT,0.375,Joel Anthony,3800000
Joel Anthony,Joel Anthony,2,.333,6,0,,0,0.0,31.0,4.0,5.0,2,.333,6,2.0,1.0,2.0,12,0,NBA,37,2.0,4.0,6.0,Joel Anthony,C,0.0,2013-14,1.0,7.0,MIA,0.333,Joel Anthony,3800000
Joel Anthony,Joel Anthony,10,.385,26,0,,0,2.0,31.0,8.0,18.0,10,.385,26,2.0,0.333,6.0,21,0,NBA,149,13.0,13.0,22.0,Joel Anthony,C,3.0,2013-14,2.0,31.0,BOS,0.385,Joel Anthony,3800000
Joel Anthony,Joel Anthony,36,.581,62,0,,0,5.0,32.0,49.0,61.0,36,.581,62,15.0,0.682,22.0,49,0,NBA,406,32.0,55.0,87.0,Joel Anthony,C,12.0,2014-15,12.0,93.0,DET,0.581,Joel Anthony,3800000
Pero Antic,Pero Antic,56,.455,123,52,.301,173,49.0,32.0,14.0,131.0,108,.365,296,88.0,0.715,123.0,63,3,NBA,1037,58.0,132.0,356.0,Pero Antic,PF,18.0,2014-15,49.0,189.0,ATL,0.453,Pero Antic,1250000
Trevor Ariza,Trevor Ariza,169,.449,376,3,.231,13,85.0,19.0,18.0,153.0,172,.442,389,121.0,0.695,174.0,80,12,NBA,1382,89.0,150.0,468.0,Trevor Ariza,SF,70.0,2004-05,73.0,242.0,NYK,0.446,Trevor Ariza,385277
Trevor Ariza,Trevor Ariza,92,.416,221,1,.200,5,61.0,20.0,11.0,140.0,93,.412,226,77.0,0.606,127.0,57,10,NBA,999,78.0,100.0,264.0,Trevor Ariza,SF,57.0,2005-06,62.0,218.0,TOT,0.414,Trevor Ariza,682051
Trevor Ariza,Trevor Ariza,60,.420,143,1,.333,3,46.0,20.0,9.0,88.0,61,.418,146,42.0,0.545,77.0,36,10,NBA,709,49.0,78.0,165.0,Trevor Ariza,SF,43.0,2005-06,46.0,137.0,NYK,0.421,Trevor Ariza,682051
Trevor Ariza,Trevor Ariza,32,.410,78,0,.000,2,15.0,20.0,2.0,52.0,32,.400,80,35.0,0.7,50.0,21,0,NBA,290,29.0,22.0,99.0,Trevor Ariza,SF,14.0,2005-06,16.0,81.0,ORL,0.4,Trevor Ariza,682051
Trevor Ariza,Trevor Ariza,200,.549,364,0,.000,7,65.0,21.0,19.0,151.0,200,.539,371,106.0,0.62,171.0,57,7,NBA,1278,98.0,134.0,506.0,Trevor Ariza,SG,59.0,2006-07,84.0,249.0,ORL,0.539,Trevor Ariza,3100000
Trevor Ariza,Trevor Ariza,64,.542,118,5,.278,18,44.0,22.0,11.0,78.0,69,.507,136,49.0,0.653,75.0,35,3,NBA,546,30.0,45.0,192.0,Trevor Ariza,SF,31.0,2007-08,23.0,108.0,TOT,0.526,Trevor Ariza,3100000
Trevor Ariza,Trevor Ariza,14,.500,28,0,.000,3,8.0,22.0,3.0,19.0,14,.452,31,8.0,0.533,15.0,11,0,NBA,115,5.0,9.0,36.0,Trevor Ariza,SF,5.0,2007-08,5.0,24.0,ORL,0.452,Trevor Ariza,3100000
Trevor Ariza,Trevor Ariza,50,.556,90,5,.333,15,36.0,22.0,8.0,59.0,55,.524,105,41.0,0.683,60.0,24,3,NBA,431,25.0,36.0,156.0,Trevor Ariza,SF,26.0,2007-08,18.0,84.0,LAL,0.548,Trevor Ariza,3100000
Trevor Ariza,Trevor Ariza,213,.526,405,61,.319,191,145.0,23.0,24.0,241.0,274,.460,596,120.0,0.71,169.0,82,20,NBA,1999,111.0,166.0,729.0,Trevor Ariza,SF,137.0,2008-09,87.0,352.0,LAL,0.511,Trevor Ariza,3100000
Trevor Ariza,Trevor Ariza,258,.436,592,136,.334,407,276.0,24.0,40.0,325.0,394,.394,999,148.0,0.649,228.0,72,71,NBA,2629,78.0,162.0,1072.0,Trevor Ariza,SF,126.0,2009-10,161.0,403.0,HOU,0.462,Trevor Ariza,5854000
Trevor Ariza,Trevor Ariza,221,.450,491,82,.303,271,162.0,25.0,31.0,347.0,303,.398,762,138.0,0.701,197.0,75,75,NBA,2600,61.0,180.0,826.0,Trevor Ariza,SF,120.0,2010-11,118.0,408.0,NOH,0.451,Trevor Ariza,6322320
Trevor Ariza,Trevor Ariza,139,.440,316,29,.333,87,135.0,26.0,25.0,174.0,168,.417,403,79.0,0.775,102.0,41,41,NBA,1350,41.0,73.0,444.0,Trevor Ariza,SF,69.0,2011-12,76.0,215.0,NOH,0.453,Trevor Ariza,6790640
Trevor Ariza,Trevor Ariza,112,.463,242,76,.364,209,113.0,27.0,20.0,222.0,188,.417,451,78.0,0.821,95.0,56,15,NBA,1471,44.0,72.0,530.0,Trevor Ariza,SF,72.0,2012-13,84.0,266.0,WAS,0.501,Trevor Ariza,7258960
Trevor Ariza,Trevor Ariza,209,.509,411,180,.407,442,191.0,28.0,20.0,376.0,389,.456,853,149.0,0.772,193.0,77,77,NBA,2723,99.0,179.0,1107.0,Trevor Ariza,SF,126.0,2013-14,132.0,475.0,WAS,0.562,Trevor Ariza,7727280
Trevor Ariza,Trevor Ariza,172,.485,355,194,.350,555,209.0,29.0,17.0,382.0,366,.402,910,122.0,0.853,143.0,82,82,NBA,2930,77.0,186.0,1048.0,Trevor Ariza,SF,152.0,2014-15,141.0,459.0,HOU,0.509,Trevor Ariza,8579089
Hilton Armstrong,Hilton Armstrong,68,.544,125,0,,0,10.0,22.0,26.0,91.0,68,.544,125,40.0,0.597,67.0,56,5,NBA,634,58.0,79.0,176.0,Hilton Armstrong,C,12.0,2006-07,35.0,149.0,NOK,0.544,Hilton Armstrong,1767600
Hilton Armstrong,Hilton Armstrong,67,.453,148,0,,0,23.0,23.0,34.0,98.0,67,.453,148,44.0,0.629,70.0,65,3,NBA,732,65.0,130.0,178.0,Hilton Armstrong,C,15.0,2007-08,59.0,163.0,NOH,0.453,Hilton Armstrong,1900200
Hilton Armstrong,Hilton Armstrong,138,.566,244,0,.000,2,29.0,24.0,45.0,114.0,138,.561,246,62.0,0.633,98.0,70,29,NBA,1092,81.0,181.0,338.0,Hilton Armstrong,C,26.0,2008-09,80.0,195.0,NOH,0.561,Hilton Armstrong,2032800
Hilton Armstrong,Hilton Armstrong,28,.359,78,0,.000,1,21.0,25.0,12.0,54.0,28,.354,79,15.0,0.469,32.0,33,0,NBA,335,27.0,59.0,71.0,Hilton Armstrong,PF-C,15.0,2009-10,22.0,81.0,TOT,0.354,Hilton Armstrong,2801198
Hilton Armstrong,Hilton Armstrong,19,.380,50,0,,0,16.0,25.0,8.0,44.0,19,.380,50,13.0,0.464,28.0,18,0,NBA,239,17.0,44.0,51.0,Hilton Armstrong,PF,8.0,2009-10,13.0,61.0,NOH,0.38,Hilton Armstrong,2801198
Hilton Armstrong,Hilton Armstrong,4,.333,12,0,,0,2.0,25.0,4.0,9.0,4,.333,12,2.0,1.0,2.0,6,0,NBA,56,5.0,5.0,10.0,Hilton Armstrong,C,2.0,2009-10,4.0,14.0,SAC,0.333,Hilton Armstrong,2801198
Hilton Armstrong,Hilton Armstrong,5,.313,16,0,.000,1,3.0,25.0,0.0,1.0,5,.294,17,0.0,0.0,2.0,9,0,NBA,40,5.0,10.0,10.0,Hilton Armstrong,C,5.0,2009-10,5.0,6.0,HOU,0.294,Hilton Armstrong,2801198
Hilton Armstrong,Hilton Armstrong,35,.486,72,2,.500,4,14.0,26.0,21.0,89.0,37,.487,76,16.0,0.485,33.0,53,2,NBA,488,42.0,84.0,92.0,Hilton Armstrong,C,18.0,2010-11,28.0,131.0,TOT,0.5,Hilton Armstrong,992680
