Player,Player,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player.1_x,Pos,STL,Season,TOV,TRB,Tm,eFG%,Player.1_y,Salary
Paul Pierce,Paul Pierce,578,.503,1148,111,.354,314,375.0,28.0,34.0,453.0,689,.471,1462,627.0,0.772,812.0,79,79,NBA,3084,77.0,223.0,2116.0,Paul Pierce,SF,107.0,2005-06,273.0,530.0,BOS,0.509,Paul Pierce,13843156
Paul Pierce,Paul Pierce,266,.463,575,107,.389,275,194.0,29.0,13.0,238.0,373,.439,850,320.0,0.796,402.0,47,46,NBA,1740,39.0,122.0,1173.0,Paul Pierce,SG,48.0,2006-07,152.0,277.0,BOS,0.502,Paul Pierce,15101625
Paul Pierce,Paul Pierce,366,.499,733,143,.392,365,363.0,30.0,36.0,358.0,509,.464,1098,409.0,0.843,485.0,80,80,NBA,2874,53.0,200.0,1570.0,Paul Pierce,SF,101.0,2007-08,221.0,411.0,BOS,0.529,Paul Pierce,16360094
Paul Pierce,Paul Pierce,421,.480,877,119,.391,304,294.0,31.0,27.0,401.0,540,.457,1181,459.0,0.83,553.0,81,81,NBA,3035,56.0,215.0,1658.0,Paul Pierce,SF,80.0,2008-09,228.0,457.0,BOS,0.508,Paul Pierce,18077903
Paul Pierce,Paul Pierce,300,.497,604,109,.414,263,218.0,32.0,31.0,271.0,409,.472,867,369.0,0.852,433.0,71,71,NBA,2411,39.0,196.0,1296.0,Paul Pierce,SF,84.0,2009-10,166.0,310.0,BOS,0.535,Paul Pierce,19795712
Paul Pierce,Paul Pierce,396,.547,724,111,.374,297,260.0,33.0,51.0,396.0,507,.497,1021,386.0,0.86,449.0,80,80,NBA,2774,34.0,231.0,1511.0,Paul Pierce,SF,80.0,2010-11,171.0,430.0,BOS,0.551,Paul Pierce,13876321
Paul Pierce,Paul Pierce,294,.476,617,100,.366,273,274.0,34.0,26.0,280.0,394,.443,890,293.0,0.852,344.0,61,61,NBA,2075,37.0,147.0,1181.0,Paul Pierce,SF,70.0,2011-12,173.0,317.0,BOS,0.499,Paul Pierce,15333334
Paul Pierce,Paul Pierce,331,.466,710,145,.380,382,370.0,35.0,30.0,442.0,476,.436,1092,333.0,0.787,423.0,77,77,NBA,2575,45.0,210.0,1430.0,Paul Pierce,SF,84.0,2012-13,214.0,487.0,BOS,0.502,Paul Pierce,16790345
Paul Pierce,Paul Pierce,209,.507,412,112,.373,300,178.0,36.0,31.0,322.0,321,.451,712,256.0,0.826,310.0,75,68,NBA,2098,26.0,190.0,1010.0,Paul Pierce,SF,86.0,2013-14,153.0,348.0,BRK,0.529,Paul Pierce,15333334
Paul Pierce,Paul Pierce,175,.496,353,118,.389,303,144.0,37.0,24.0,249.0,293,.447,656,164.0,0.781,210.0,73,73,NBA,1914,45.0,160.0,868.0,Paul Pierce,SF,46.0,2014-15,92.0,294.0,WAS,0.537,Paul Pierce,5305000
Mickael Pietrus,Mickael Pietrus,61,.484,126,35,.333,105,27.0,21.0,12.0,71.0,96,.416,231,52.0,0.693,75.0,53,22,NBA,748,48.0,100.0,279.0,Mickael Pietrus,PG,32.0,2003-04,40.0,119.0,GSW,0.491,Mickael Pietrus,1527946
Mickael Pietrus,Mickael Pietrus,147,.480,306,67,.344,195,82.0,22.0,18.0,124.0,214,.427,501,141.0,0.698,202.0,67,3,NBA,1340,65.0,139.0,636.0,Mickael Pietrus,SF,46.0,2004-05,92.0,189.0,GSW,0.494,Mickael Pietrus,1785960
Mickael Pietrus,Mickael Pietrus,113,.467,242,56,.318,176,44.0,23.0,10.0,105.0,169,.404,418,87.0,0.608,143.0,52,18,NBA,1179,58.0,132.0,481.0,Mickael Pietrus,SF,33.0,2005-06,78.0,163.0,GSW,0.471,Mickael Pietrus,1910520
Mickael Pietrus,Mickael Pietrus,193,.558,346,93,.388,240,62.0,24.0,55.0,246.0,286,.488,586,136.0,0.648,210.0,72,38,NBA,1937,81.0,220.0,801.0,Mickael Pietrus,SF,48.0,2006-07,105.0,327.0,GSW,0.567,Mickael Pietrus,2535260
Mickael Pietrus,Mickael Pietrus,104,.510,204,66,.361,183,49.0,25.0,43.0,175.0,170,.439,387,66.0,0.673,98.0,66,16,NBA,1316,67.0,200.0,472.0,Mickael Pietrus,SF,66.0,2007-08,48.0,242.0,GSW,0.525,Mickael Pietrus,3470770
Mickael Pietrus,Mickael Pietrus,96,.473,203,80,.359,223,65.0,26.0,24.0,132.0,176,.413,426,78.0,0.709,110.0,54,25,NBA,1329,44.0,126.0,510.0,Mickael Pietrus,SG,31.0,2008-09,56.0,176.0,ORL,0.507,Mickael Pietrus,5300000
Mickael Pietrus,Mickael Pietrus,117,.502,233,116,.379,306,49.0,27.0,31.0,176.0,233,.432,539,69.0,0.633,109.0,75,24,NBA,1687,39.0,138.0,651.0,Mickael Pietrus,SF,53.0,2009-10,69.0,215.0,ORL,0.54,Mickael Pietrus,5300000
Mickael Pietrus,Mickael Pietrus,58,.450,129,85,.360,236,33.0,28.0,21.0,111.0,143,.392,365,39.0,0.684,57.0,57,4,NBA,1107,15.0,101.0,410.0,Mickael Pietrus,SG-SF,29.0,2010-11,39.0,126.0,TOT,0.508,Mickael Pietrus,5300000
Mickael Pietrus,Mickael Pietrus,11,.393,28,34,.391,87,10.0,28.0,3.0,44.0,45,.391,115,3.0,0.5,6.0,19,0,NBA,418,6.0,35.0,127.0,Mickael Pietrus,SF,10.0,2010-11,14.0,50.0,ORL,0.539,Mickael Pietrus,5300000
Mickael Pietrus,Mickael Pietrus,47,.465,101,51,.342,149,23.0,28.0,18.0,67.0,98,.392,250,36.0,0.706,51.0,38,4,NBA,689,9.0,66.0,283.0,Mickael Pietrus,SG,19.0,2010-11,25.0,76.0,PHO,0.494,Mickael Pietrus,5300000
